acromion, acromii, n
arteria, arteriae, f
basis, basis, f
canaliculus, canaliculi, m
canalis, canalis, m
capitulum, capituli, n
caput, capitis, n
carpus, carpi, m
cavitas, cavitatis, f
cingulum, cinguli, n
circumferentia, circumferentiae, f
clavicula, claviculae, f
collum, colli, n
corpus, corporis, n
crista, cristae, f
diaphysis, diaphysis, f
dorsum, dorsi, n
eminentia, eminentiae, f
endosteum, endostei, n
epicondylus, epicondyli, m
epiphysis, epiphysis, f
extremitas, extremitatis, f
facies, faciei, f
fossa, fossae, f
fovea, foveae, f
hamulus, hamuli, m
humerus, humeri, m
impressio, impressionis, f
incisura, incisurae, f
lamina, laminae, f
ligamentum, ligamenti, n
linea, lineae, f
manus, manus, f
margo, marginis, m
medulla, medullae, f
membrum, membri, n
metacarpus, metacarpi, m
musculus, musculi, m
nervus, nervi, m
os, ossis, n
palma, palmae, f
periosteum, periostei, n
phalanx, phalangis, f
processus, processus, m
retinaculum, retinaculi, n
scapula, scapulae, f
sectio, sectionis, f
spina, spinae, f
substantia, substantiae, f
sulcus, sulci, m
syndroma, syndromatis, n
trochlea, trochleae, f
tuberculum, tuberculi, n
tuberositas, tuberositatis, f
ulna, ulnae, f
