anastomosis, anastomosis, f
aorta, aortae, f
arcus, arcus, m
arteriola, arteriolae, f
atrium, atrii, n
bifurcatio, bifurcationis, f
cerebellum, cerebelli, n
cerebrum, cerebri, n
chiasma, chiasmatis, n
cisterna, cisternae, f
collector, collectoris, m
cor, cordis, n
costa, costae, f
cupula, cupulae, f
digitus, digiti, m
ductus, ductus, m
fasciculus, fasciculi, m
fissura, fissurae, f
lemniscus, lemnisci, m
nodus, nodi, m
nucleus, nuclei, m
pons, pontis, m
radix, radicis, f
ramus, rami, m
regio, regionis, f
rete, retis, n
sanguis, sanguinis, m
sinus, sinus, m
tonsilla, tonsillae, f
truncus, trunci, m
trabecula, trabeculae, f
trigonum, trigoni, n
vena, venae, f
